# q R dR dq
2.105075513211411564e-02 1.035826203356211783e+00 1.393967377450837375e-02 1.052537756605705912e-03
3.467181068299082097e-02 2.653711572151723486e-01 1.921362147799002967e-02 1.733590534149541135e-03
4.705456079508461842e-02 1.712303293970358561e-02 1.168892394423453034e-03 2.352728039754231268e-03
5.943727507308346064e-02 5.058230987830837459e-03 3.362913751440248494e-04 2.971863753654173292e-03
7.181994408701172783e-02 2.056046489558315503e-03 1.349839734636082303e-04 3.590997204350586652e-03
8.544081527480458516e-02 8.597152596729584198e-04 5.370369354595379833e-05 4.272040763740229431e-03
9.906161011743777611e-02 3.419364254894528485e-04 2.207598371054522287e-05 4.953080505871888979e-03
1.114440709173518257e-01 1.737594060968861544e-04 1.109928555596657639e-05 5.572203545867591978e-03
1.228977722929310012e-01 1.001790652753384157e-04 5.267980988601401298e-06 6.144888614646550062e-03
1.362087284789382235e-01 5.527416381650106757e-05 4.755615065597039387e-06 6.810436423946911871e-03
1.498291160114913478e-01 3.017311848943116819e-05 2.525069029821421175e-06 7.491455800574567739e-03
1.634493696650810013e-01 1.820390066932866074e-05 1.544854876150404489e-06 8.172468483254050065e-03
1.758312861719165399e-01 1.145524911899350836e-05 9.663032743750564301e-07 8.791564308595827687e-03
1.882130687755788345e-01 7.246383443336546476e-06 6.072396922146581312e-07 9.410653438778941726e-03
2.005947080468017951e-01 4.644766474849200631e-06 3.866684231851988879e-07 1.002973540234008976e-02
2.129761945564284387e-01 3.032244654613633807e-06 2.507254094579042558e-07 1.064880972782142332e-02
2.265956388601728377e-01 1.923633138634613841e-06 1.552677672773693159e-07 1.132978194300864223e-02
2.412761110997373171e-01 1.185606802417460856e-06 7.972911469012638238e-08 1.206380555498686585e-02
2.517704243965079858e-01 8.302386343833064131e-07 5.082005447386538103e-08 1.258852121982539929e-02
2.649765569479280991e-01 5.311048985824172777e-07 3.752154607965211065e-08 1.324882784739640600e-02
2.773570971040370536e-01 3.470703240382239575e-07 2.431234086227265695e-08 1.386785485520185268e-02
2.909754428917627478e-01 2.167616558170969880e-07 1.481619669797769391e-08 1.454877214458813808e-02
3.045935286800187658e-01 1.324526042997029623e-07 9.117297505730694431e-09 1.522967643400093864e-02
3.169733597468616937e-01 8.476561055522762951e-08 5.796855073361089950e-09 1.584866798734308607e-02
3.293529494247023348e-01 5.240027176243663981e-08 3.560763929784594256e-09 1.646764747123511882e-02
3.417322882859447075e-01 3.194326119834288007e-08 2.162071929227959118e-09 1.708661441429723538e-02
3.541113669031838995e-01 1.893502603297569292e-08 1.277289726041437510e-09 1.770556834515919428e-02
3.677280364148744485e-01 1.109104906909990287e-08 7.411514155165378614e-10 1.838640182074372312e-02
3.813443773452472318e-01 6.685722179432134450e-09 4.576480716607683092e-10 1.906721886726236298e-02
3.937225598318684350e-01 4.811689724284289701e-09 3.361303760709539155e-10 1.968612799159342314e-02
4.061004424816329061e-01 3.987713046263699842e-09 2.821353740931076561e-10 2.030502212408164669e-02
4.184780158682446793e-01 3.874036241622493879e-09 2.732194521053653178e-10 2.092390079341223397e-02
4.320929721118569322e-01 3.887087945974979085e-09 2.657892078234372924e-10 2.160464860559284730e-02
4.457075422612254423e-01 3.984448634333346655e-09 2.746508197367744413e-10 2.228537711306127420e-02
4.580840626638278401e-01 4.124663208466440782e-09 2.842830032931518086e-10 2.290420313319139339e-02
4.704602342154893257e-01 3.946138556476927321e-09 2.720964971621647879e-10 2.352301171077446698e-02
4.828360474912168909e-01 3.730840277713908862e-09 2.572317959875184935e-10 2.414180237456084455e-02
4.952114930662904757e-01 3.484622995977790052e-09 2.403746585021961422e-10 2.476057465331452448e-02
5.088240401525410128e-01 2.937411516350444645e-09 2.023430800362801321e-10 2.544120200762705133e-02
5.224361325819336654e-01 2.637269434304677766e-09 1.865343382152544298e-10 2.612180662909668535e-02
5.348103381841022852e-01 2.154067935745773002e-09 1.597406117528580012e-10 2.674051690920511634e-02
5.471841365049335826e-01 1.750018118167727757e-09 1.396532005179329782e-10 2.735920682524668052e-02
5.595575181212415483e-01 1.388637728145603853e-09 1.131759764068492438e-10 2.797787590606207880e-02
5.731677373569156186e-01 1.109453619365274254e-09 1.024294185607952926e-10 2.865838686784578232e-02
5.867774444417829249e-01 9.318860524116344848e-10 1.084063996738188188e-10 2.933887222208914763e-02
5.991494292835517488e-01 7.062225575217985210e-10 8.324904424279298140e-11 2.995747146417758813e-02
6.115209578469663620e-01 6.893282055235239574e-10 1.456611088891931128e-10 3.057604789234831880e-02
6.238920207105695948e-01 7.044423359801946114e-10 1.847343852773140415e-10 3.119460103552848182e-02
6.362626084532592152e-01 6.233537524340768485e-10 2.315844370861784540e-10 3.181313042266296215e-02
